published_year,unique_institutions,avg_num_authors,avg_num_affiliations
1400,1,1.7142857142857142,0.0
1403,0,1.0,0.0
1409,0,,
1411,0,,
1425,0,1.0,0.0
1431,0,,
1433,0,,
1435,0,,
1445,0,,
1450,0,2.0,0.0
1451,0,,
1456,0,,
1459,0,,
1469,0,1.6666666666666667,0.0
1470,0,3.0,0.0
1472,0,2.5,0.0
1475,0,1.0,0.0
1476,0,3.25,0.0
1477,0,3.0,0.0
1478,1,1.0,0.0
1479,0,2.0,0.0
1480,0,2.0,0.0
1481,0,2.5,0.0
1482,0,3.0,0.0
1483,0,2.3333333333333335,0.0
1484,0,1.0,0.0
1485,0,1.2142857142857142,0.0
1486,0,1.0,0.0
1487,0,1.0,0.0
1488,0,1.5,0.0
1489,0,1.6,0.0
1490,0,1.0,0.0
1491,0,2.0,0.0
1492,0,1.6666666666666667,0.0
1493,0,3.6,0.0
1494,0,3.0,0.0
1495,0,6.166666666666667,0.0
1496,0,1.4,0.0
1497,0,4.0,0.0
1498,0,2.5,0.0
1499,0,1.75,0.0
1500,0,3.4305555555555554,0.0
1501,0,1.0,0.0
1502,0,3.0,0.0
1503,0,2.0,0.0
1504,0,2.0,0.0
1505,0,6.0,0.0
1506,0,1.0,0.0
1507,0,2.0,0.0
1508,0,1.1111111111111112,0.0
1509,0,2.0,0.0
1510,0,1.0,0.0
1511,0,1.5,0.0
1512,0,1.0,0.0
1513,0,3.2857142857142856,0.0
1514,0,2.5,0.0
1515,0,1.0,0.0
1516,0,4.0,0.0
1517,0,4.333333333333333,0.0
1518,0,1.2,0.0
1519,0,2.0,0.0
1520,0,1.5,0.0
1521,0,4.5,0.0
1522,0,1.0,0.0
1523,0,1.0909090909090908,0.0
1524,0,1.3333333333333333,0.0
1525,0,1.3333333333333333,0.0
1526,0,1.7,0.0
1527,0,1.0,0.0
1528,0,4.6,0.0
1529,0,6.0,0.0
1530,0,1.5,0.0
1531,0,6.111111111111111,0.0
1532,0,2.0588235294117645,0.0
1533,0,4.333333333333333,0.0
1534,0,2.7142857142857144,0.0
1535,0,3.6666666666666665,0.0
1536,0,1.0,0.0
1537,0,1.5,0.0
1538,0,2.0,0.0
1539,0,3.3333333333333335,0.0
1540,0,3.6666666666666665,0.0
1541,0,3.0,0.0
1542,0,1.8888888888888888,0.0
1543,0,2.4,0.0
1544,0,2.0,0.0
1545,0,1.3333333333333333,0.0
1546,0,2.2,0.0
1547,0,1.6666666666666667,0.0
1548,0,1.6666666666666667,0.0
1549,0,1.6,0.0
1550,0,2.25,0.0
1551,0,2.25,0.0
1552,0,3.125,0.0
1553,0,2.0,0.0
1554,0,1.8461538461538463,0.0
1555,0,1.5,0.0
1556,0,3.142857142857143,0.0
1557,0,2.3333333333333335,0.0
1558,0,1.6666666666666667,0.0
1559,0,3.2857142857142856,0.0
1560,0,1.8888888888888888,0.0
1561,0,1.6666666666666667,0.0
1562,0,1.75,0.0
1563,0,2.2,0.0
1564,0,1.4,0.0
1565,0,1.6666666666666667,0.0
1566,0,2.25,0.0
1567,0,3.0,0.0
1568,0,1.1162790697674418,0.0
1569,0,2.0,0.0
1570,0,1.1724137931034482,0.0
1571,0,1.75,0.0
1572,0,1.8181818181818181,0.0
1573,0,1.1865671641791045,0.0
1574,0,1.1666666666666667,0.0
1575,0,2.6666666666666665,0.0
1576,0,3.1,0.0
1577,0,1.146341463414634,0.0
1578,0,2.2857142857142856,0.0
1579,0,1.25,0.0
1580,0,1.9607843137254901,0.0
1581,0,1.0769230769230769,0.0
1582,0,2.0,0.0
1583,0,1.9,0.0
1584,0,1.1111111111111112,0.0
1585,0,1.0,0.0
1586,0,1.2857142857142858,0.0
1587,0,1.4,0.0
1588,0,1.3043478260869565,0.0
1589,0,1.2580645161290323,0.0
1590,0,1.144927536231884,0.0
1591,0,1.2678571428571428,0.0
1592,0,1.183673469387755,0.0
1593,0,1.391304347826087,0.0
1594,0,1.22,0.0
1595,0,1.0161943319838056,0.0
1596,0,1.518987341772152,0.0
1597,0,1.121212121212121,0.0
1598,0,1.1095890410958904,0.0
1599,0,1.139344262295082,0.0
1600,0,1.2626582278481013,0.0
1601,0,1.453125,0.0
1602,0,1.7142857142857142,0.0
1603,0,1.4705882352941178,0.0
1604,0,1.3666666666666667,0.0
1605,0,2.090909090909091,0.0
1606,0,1.2222222222222223,0.0
1607,0,1.2857142857142858,0.0
1608,0,1.088235294117647,0.0
1609,0,1.0075471698113208,0.0
1610,0,1.2857142857142858,0.0
1611,0,1.3333333333333333,0.0
1612,0,1.0,0.0
1613,0,1.03125,0.0
1614,0,1.3571428571428572,0.0
1615,0,1.1111111111111112,0.0
1616,0,1.0789473684210527,0.0
1617,0,1.2923076923076924,0.0
1618,0,1.15,0.0
1619,0,1.036190476190476,0.0
